China;1378665
India;1324171
United States;323128
Indonesia;261115
Brazil;207653
Pakistan;193203
Nigeria;18599
Bangladesh;162952
Russian Federation;144342
Mexico;12754
Japan;126995
Philippines;10332
Ethiopia;102403
Egypt Arab Rep.;95689
Vietnam;92701
Germany;82668
Iran Islamic Rep.;80277
Turkey;79512
Congo Dem. Rep.;78736
Thailand;68864
France;66896
United Kingdom;65637
Italy;60601
South Africa;55909
Tanzania;55572
Myanmar;52885
Korea Rep.;51246
Colombia;48653
Kenya;48462
Spain;46444
Ukraine;45005
Argentina;43847
Uganda;41488
Algeria;40606
Sudan;39579
Poland;37948
Iraq;37203
Canada;36286
Morocco;35277
Afghanistan;34656
Saudi Arabia;32276
Uzbekistan;31848
Peru;31774
Venezuela RB;31568
Malaysia;31187
Nepal;28983
Mozambique;28829
Angola;28813
Ghana;28207
Yemen Rep.;27584
Korea Dem. People's Rep.;25369
Madagascar;24895
Australia;24127
Côte d'Ivoire;23696
Cameroon;23439
Sri Lanka;21203
Niger;20673
Romania;19705
Burkina Faso;18646
Syrian Arab Republic;1843
Malawi;18092
Mali;17995
Chile;1791
Kazakhstan;17797
Netherlands;17018
Zambia;16591
Guatemala;16582
Ecuador;16385
Zimbabwe;1615
Cambodia;15762
Senegal;15412
Chad;14453
Somalia;14318
Guinea;12396
South Sudan;12231
Rwanda;11918
Cuba;11476
Tunisia;11403
Belgium;11348
Bolivia;10888
Benin;10872
Haiti;10847
Greece;10747
Dominican Republic;10649
Czech Republic;10562
Burundi;10524
Portugal;10325
Sweden;9903
Hungary;9818
Azerbaijan;9762
Belarus;9507
Jordan;9456
United Arab Emirates;927
Honduras;9113
Austria;8747
Tajikistan;8735
Israel;8547
Switzerland;8372
Papua New Guinea;8085
Togo;7606
Sierra Leone;7396
Hong Kong SAR China;7347
Bulgaria;7128
Serbia;7057
Lao PDR;6758
Paraguay;6725
El Salvador;6345
Libya;6293
Nicaragua;615
Kyrgyz Republic;6083
Lebanon;6007
Denmark;5731
Turkmenistan;5663
Singapore;5607
Finland;5495
Slovak Republic;5429
Norway;5233
Congo Rep.;5126
Costa Rica;4857
Ireland;4773
New Zealand;4693
Liberia;4614
Central African Republic;4595
West Bank and Gaza;4552
Oman;4425
Mauritania;4301
Croatia;4171
Kuwait;4053
Panama;4034
Georgia;3719
Moldova;3552
Bosnia and Herzegovina;3517
Uruguay;3444
Puerto Rico;3411
Mongolia;3027
Armenia;2925
Jamaica;2881
Albania;2876
Lithuania;2872
Qatar;257
Namibia;248
Botswana;225
Lesotho;2204
Macedonia FYR;2081
Slovenia;2065
Gambia The;2039
Gabon;198
Latvia;196
Kosovo;1816
Guinea-Bissau;1816
Bahrain;1425
Trinidad and Tobago;1365
Swaziland;1343
Estonia;1316
Timor-Leste;1269
Mauritius;1263
Equatorial Guinea;1221
Cyprus;117
Djibouti;942
Fiji;899
Bhutan;798
Comoros;796
Guyana;773
Montenegro;623
Macao SAR China;612
Solomon Islands;599
Luxembourg;583
Suriname;558
Cabo Verde;540
Malta;437
Brunei Darussalam;423
Maldives;417
Bahamas The;391
Belize;367
Iceland;334
Barbados;285
French Polynesia;280
New Caledonia;278
Vanuatu;270
São Tomé and Principe;200
Samoa;195
St. Lucia;178
Channel Islands;165
Guam;163
Curaçao;160
Kiribati;114
St. Vincent and the Grenadines;110
Grenada;107
Tonga;107
Micronesia Fed. Sts.;105
Aruba;105
Virgin Islands (U.S.);103
Antigua and Barbuda;101
Seychelles;95
Isle of Man;84
Andorra;77
Dominica;74
Bermuda;65
Cayman Islands;61
Greenland;56
American Samoa;56
Northern Mariana Islands;55
St. Kitts and Nevis;55
Marshall Islands;53
Faroe Islands;49
Sint Maarten (Dutch part);40
Monaco;38
Liechtenstein;38
Turks and Caicos Islands;35
Gibraltar;34
San Marino;33
St. Martin (French part);32
British Virgin Islands;31
Palau;22
Nauru;13
Tuvalu;11